Security Description,Issuer,Security No.,Symbol,Exchange,Currency,Conv Rate
SAUDI AWWAL BANK COMMON STOCK SAR 10,SAUDI AWWAL BANK,B12LSY7,1060,TADAWUL,SAR,1
SAUDI BASIC INDUSTRIES CORP COMMON STOCK SAR 10,SAUDI BASIC INDUSTRIES CORP,B1324D0,2010,TADAWUL,SAR,1
SAUDI GROUND SERVICES CO COMMON STOCK SAR 10,SAUDI GROUND SERVICES CO,BYYTJ69,4031,TADAWUL,SAR,1
SAUDI TELECOM CO COMMON STOCK,SAUDI TELECOM CO,B12M7Q5,7010,TADAWUL,SAR,1
SAUDIA DAIRY & FOODSTUFF CO COMMON STOCK SAR 10,SAUDIA DAIRY & FOODSTUFF CO,B133P41,2270,TADAWUL,SAR,1
SBERBANK OF RUSSIA PJSC,SBERBANK OF RUSSIA PJSC,0H5855S,SBER,RUS,RUB,1
SBERBANK OF RUSSIA PJSC,SBERBANK OF RUSSIA PJSC,X8C6398,SBER,RUS,RUB,1
SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,0H5856S,SBER,RUS,RUB,1
SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,X8C6155,SBER,RUS,RUB,1
SEVERSTAL PAO GDR USD,SEVERSTAL PAO GDR USD,0H6368S,CHMF,RUS,RUB,1
SEVERSTAL PAO GDR USD,SEVERSTAL PAO GDR USD,X84C975,CHMF,RUS,RUB,1
SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,SHOPRITE HOLDINGS LTD,6801575,SHP,JSE,ZAC,1
SIBANYE STILLWATER LTD COMMON STOCK ZAR,SIBANYE STILLWATER LTD,BL0L913,SSW,JSE,ZAC,1
SISTEMA PJSFC COMMON STOCK RUB 0.09,SISTEMA PJSFC,0H5808S,AFKS,RUS,RUB,1
SISTEMA PJSFC COMMON STOCK RUB 0.09,SISTEMA PJSFC,X84D1F7,AFKS,RUS,RUB,1
STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,STANDARD BANK GROUP LTD,B030GJ7,SBK,JSE,ZAC,1
STS HOLDING SA COMMON STOCK PLN,STS HOLDING SA,BMFCKF9,PRIVATE,PRIVATE,PRIVATE,1
TATNEFT PJSC COMMON STOCK RUB,TATNEFT PJSC,X84C973,TATN,RUS,RUB,1
TATNEFT PJSC COMMON STOCK RUB,TATNEFT PJSC,0H5822S,TATN,RUS,RUB,1
